,read
0,35.0
1,346.0
2,39.0
3,-49.0
4,-13.0
5,13.0
6,-292.0
7,-25.0
8,110.0
9,158.0
10,98.0
11,18.0
12,1215.0
13,75972.0
14,104560.0
15,98507.0
16,103858.0
17,106423.0
18,106137.0
19,106347.0
20,106300.0
21,106334.0
22,106409.0
23,106396.0
24,106460.0
25,106560.0
26,106416.0
27,106302.0
28,106418.0
29,106362.0
30,106194.0
31,106103.0
32,106277.0
33,106293.0
34,106248.0
35,106351.0
36,106479.0
37,106295.0
38,106056.0
39,106288.0
40,106529.0
41,106357.0
42,106396.0
43,106425.0
44,106270.0
45,106259.0
46,106058.0
47,106276.0
48,106254.0
49,106205.0
50,106277.0
51,106306.0
52,106072.0
53,106409.0
54,106471.0
55,106360.0
56,106375.0
57,105893.0
58,106230.0
59,106089.0
60,106545.0
61,106294.0
62,106358.0
63,106594.0
64,106282.0
65,106000.0
66,105900.0
67,106233.0
68,106438.0
69,106343.0
70,106245.0
71,106154.0
72,106338.0
73,106142.0
74,106401.0
75,106408.0
76,106538.0
77,106351.0
78,106627.0
79,106079.0
80,106442.0
81,106133.0
82,106262.0
83,106376.0
84,106392.0
85,106412.0
86,106266.0
87,106322.0
88,106274.0
89,106448.0
90,106224.0
91,106264.0
92,106227.0
93,106080.0
94,106243.0
95,106196.0
96,106116.0
97,106354.0
98,106322.0
99,106201.0
100,106374.0
101,106304.0
102,106359.0
103,106489.0
104,106444.0
105,106145.0
106,106157.0
107,106401.0
108,106463.0
109,106340.0
110,106202.0
111,106327.0
112,106231.0
113,106323.0
114,106216.0
115,106492.0
116,106231.0
117,106400.0
118,106459.0
119,106289.0
120,106277.0
121,106237.0
122,106234.0
123,106354.0
124,106324.0
125,106084.0
126,106316.0
127,106154.0
128,106352.0
129,106295.0
130,106181.0
131,106461.0
132,106276.0
133,106254.0
134,106246.0
135,106400.0
136,106351.0
137,106273.0
138,106273.0
139,106332.0
140,106458.0
141,106386.0
142,106282.0
143,106231.0
144,106377.0
145,105952.0
146,106220.0
147,106401.0
148,105999.0
149,106276.0
150,106597.0
151,106285.0
152,106256.0
153,106399.0
154,106415.0
155,106228.0
156,106357.0
157,106176.0
158,106296.0
159,106067.0
160,106040.0
161,106266.0
162,106358.0
163,106204.0
164,106439.0
165,106157.0
166,106253.0
167,106235.0
168,106278.0
169,106044.0
170,106226.0
171,106199.0
172,106138.0
173,106122.0
174,106293.0
175,106454.0
176,106119.0
177,106387.0
178,106254.0
179,106360.0
180,106316.0
181,106316.0
182,106426.0
183,106343.0
184,106246.0
185,106048.0
186,106144.0
187,106180.0
188,106261.0
189,106229.0
190,106067.0
191,106333.0
192,106485.0
193,106310.0
194,106251.0
195,106340.0
196,106470.0
197,106205.0
198,106157.0
199,106287.0
200,106237.0
201,106438.0
202,106171.0
203,106243.0
204,106143.0
205,106192.0
206,106360.0
207,106009.0
208,106264.0
209,106231.0
210,106318.0
211,106172.0
212,106349.0
213,106220.0
214,106267.0
215,106395.0
216,106159.0
217,106134.0
218,106246.0
219,106167.0
220,106114.0
221,106263.0
222,106209.0
223,106269.0
224,106399.0
225,106079.0
226,106010.0
227,106135.0
228,106093.0
229,106070.0
230,106279.0
231,106294.0
232,106306.0
233,106215.0
234,106067.0
235,106167.0
236,106421.0
237,106487.0
238,106132.0
239,106094.0
240,106411.0
241,106459.0
242,106215.0
243,106183.0
244,106232.0
245,106304.0
246,106245.0
247,106116.0
